tabel		kolom
--------------------------------------------
klant		id
klant		voornaam
klant		tussenvoegsel
klant		achternaam
klant		email
klant		telefoon
klant		datumAanmaak
klant		boolean klantActief

tussen		klantId
tussen		adresId

adres		id
adres		straat
adres		huisnummer
adres		toevoeging
adres		postcode
adres		plaats
adres		datumAanmaak

bestelling	id
bestelling	artikelId
bestelling	revisieNummer
bestelling	aantal
bestelling	datumAanmaak
bestelling	boolean bestellingActief

artikel		id
artikel		revisieNummer
artikel		naam
artikel		prijs
artikel		datumAanmaak
artikel		verwachteLevertijd
artikel		boolean inAssortiment
